Country,Time Serie,Rate
INDIA/US,14/12/2001,47.86
INDIA/US,17/12/2001,47.86
INDIA/US,18/12/2001,47.86
INDIA/US,19/12/2001,47.8
INDIA/US,20/12/2001,47.83
INDIA/US,21/12/2001,47.85
INDIA/US,24/12/2001,47.95
INDIA/US,26/12/2001,47.95
INDIA/US,27/12/2001,48.21
INDIA/US,28/12/2001,48.29
INDIA/US,31/12/2001,48.27
INDIA/US,02/01/2002,48.27
INDIA/US,03/01/2002,48.28
INDIA/US,04/01/2002,48.3
INDIA/US,07/01/2002,48.28
INDIA/US,08/01/2002,48.3
INDIA/US,09/01/2002,48.32
INDIA/US,10/01/2002,48.41
INDIA/US,11/01/2002,48.44
INDIA/US,14/01/2002,48.36
INDIA/US,15/01/2002,48.31
INDIA/US,16/01/2002,48.3
INDIA/US,17/01/2002,48.31
INDIA/US,18/01/2002,48.27
INDIA/US,22/01/2002,48.3
INDIA/US,23/01/2002,48.35
INDIA/US,24/01/2002,48.35
INDIA/US,25/01/2002,48.38
INDIA/US,28/01/2002,48.37
INDIA/US,29/01/2002,48.43
INDIA/US,30/01/2002,48.53
INDIA/US,31/01/2002,48.56
INDIA/US,01/02/2002,48.55
INDIA/US,04/02/2002,48.61
INDIA/US,05/02/2002,48.69
INDIA/US,06/02/2002,48.71
INDIA/US,07/02/2002,48.72
INDIA/US,08/02/2002,48.7
INDIA/US,11/02/2002,48.75
INDIA/US,12/02/2002,48.69
INDIA/US,13/02/2002,48.9
INDIA/US,14/02/2002,48.71
INDIA/US,15/02/2002,48.71
INDIA/US,19/02/2002,48.67
INDIA/US,20/02/2002,48.64
INDIA/US,21/02/2002,48.69
INDIA/US,22/02/2002,48.79
INDIA/US,25/02/2002,48.82
INDIA/US,26/02/2002,48.75
INDIA/US,27/02/2002,48.76
INDIA/US,28/02/2002,48.76
INDIA/US,01/03/2002,48.76
INDIA/US,04/03/2002,48.72
INDIA/US,05/03/2002,48.72
INDIA/US,06/03/2002,48.71
INDIA/US,07/03/2002,48.76
INDIA/US,08/03/2002,48.76
INDIA/US,11/03/2002,48.76
INDIA/US,12/03/2002,48.76
INDIA/US,13/03/2002,48.74
INDIA/US,14/03/2002,48.77
INDIA/US,15/03/2002,48.73
INDIA/US,18/03/2002,48.74
INDIA/US,19/03/2002,48.76
INDIA/US,20/03/2002,48.76
INDIA/US,21/03/2002,48.78
INDIA/US,22/03/2002,48.8
INDIA/US,25/03/2002,48.8
INDIA/US,26/03/2002,48.78
INDIA/US,27/03/2002,48.83
INDIA/US,28/03/2002,48.83
INDIA/US,29/03/2002,48.83
INDIA/US,01/04/2002,48.83
INDIA/US,02/04/2002,48.85
INDIA/US,03/04/2002,48.91
INDIA/US,04/04/2002,48.92
INDIA/US,05/04/2002,48.86
INDIA/US,08/04/2002,48.91
INDIA/US,09/04/2002,48.92
INDIA/US,10/04/2002,48.91
INDIA/US,11/04/2002,48.93
INDIA/US,12/04/2002,48.94
INDIA/US,15/04/2002,48.96
INDIA/US,16/04/2002,48.96
INDIA/US,17/04/2002,48.96
INDIA/US,18/04/2002,48.93
INDIA/US,19/04/2002,48.92
INDIA/US,22/04/2002,48.95
INDIA/US,23/04/2002,49.01
INDIA/US,24/04/2002,49
INDIA/US,25/04/2002,49
INDIA/US,26/04/2002,48.99
INDIA/US,29/04/2002,49.01
INDIA/US,30/04/2002,48.98
INDIA/US,01/05/2002,48.98
INDIA/US,02/05/2002,48.98
INDIA/US,03/05/2002,49
INDIA/US,06/05/2002,48.97
INDIA/US,07/05/2002,48.99
INDIA/US,08/05/2002,48.97
INDIA/US,09/05/2002,48.99
INDIA/US,10/05/2002,49.02
INDIA/US,13/05/2002,49.03
INDIA/US,14/05/2002,49.02
INDIA/US,15/05/2002,49.04
INDIA/US,16/05/2002,49.05
INDIA/US,17/05/2002,49.04
INDIA/US,20/05/2002,49.06
INDIA/US,21/05/2002,49.01
INDIA/US,22/05/2002,49.01
INDIA/US,23/05/2002,49.07
INDIA/US,24/05/2002,49.02
INDIA/US,28/05/2002,49.02
INDIA/US,29/05/2002,49.01
INDIA/US,30/05/2002,49.03
INDIA/US,31/05/2002,49.06
INDIA/US,03/06/2002,49.07
INDIA/US,04/06/2002,49.07
INDIA/US,05/06/2002,49.05
INDIA/US,06/06/2002,49.03
INDIA/US,07/06/2002,49.05
INDIA/US,10/06/2002,49.02
INDIA/US,11/06/2002,49
INDIA/US,12/06/2002,49
INDIA/US,13/06/2002,49.04
INDIA/US,14/06/2002,49.03
INDIA/US,17/06/2002,49.02
INDIA/US,18/06/2002,48.99
INDIA/US,19/06/2002,48.94
INDIA/US,20/06/2002,48.94
INDIA/US,21/06/2002,48.95
INDIA/US,24/06/2002,48.91
INDIA/US,25/06/2002,48.93
INDIA/US,26/06/2002,48.87
INDIA/US,27/06/2002,48.86
INDIA/US,28/06/2002,48.91
INDIA/US,01/07/2002,48.86
INDIA/US,02/07/2002,48.87
INDIA/US,03/07/2002,48.83
INDIA/US,05/07/2002,48.86
INDIA/US,08/07/2002,48.84
INDIA/US,09/07/2002,48.82
INDIA/US,10/07/2002,48.82
INDIA/US,11/07/2002,48.81
INDIA/US,12/07/2002,48.8
INDIA/US,15/07/2002,48.85
INDIA/US,16/07/2002,48.83
INDIA/US,17/07/2002,48.81
INDIA/US,18/07/2002,48.82
INDIA/US,19/07/2002,48.75
INDIA/US,22/07/2002,48.73
INDIA/US,23/07/2002,48.72
INDIA/US,24/07/2002,48.7
INDIA/US,25/07/2002,48.71
INDIA/US,26/07/2002,48.71
INDIA/US,29/07/2002,48.76
INDIA/US,30/07/2002,48.74
INDIA/US,31/07/2002,48.69
INDIA/US,01/08/2002,48.68
INDIA/US,02/08/2002,48.68
INDIA/US,05/08/2002,48.67
INDIA/US,06/08/2002,48.73
INDIA/US,07/08/2002,48.7
INDIA/US,08/08/2002,48.68
INDIA/US,09/08/2002,48.67
INDIA/US,12/08/2002,48.64
INDIA/US,13/08/2002,48.62
INDIA/US,14/08/2002,48.63
INDIA/US,15/08/2002,48.63
INDIA/US,16/08/2002,48.6
INDIA/US,19/08/2002,48.61
INDIA/US,20/08/2002,48.59
INDIA/US,21/08/2002,48.56
INDIA/US,22/08/2002,48.55
INDIA/US,23/08/2002,48.55
INDIA/US,26/08/2002,48.55
INDIA/US,27/08/2002,48.53
INDIA/US,28/08/2002,48.6
INDIA/US,29/08/2002,48.54
INDIA/US,30/08/2002,48.52
INDIA/US,03/09/2002,48.5
INDIA/US,04/09/2002,48.48
INDIA/US,05/09/2002,48.5
INDIA/US,06/09/2002,48.57
INDIA/US,09/09/2002,48.52
INDIA/US,10/09/2002,48.52
INDIA/US,11/09/2002,48.48
INDIA/US,12/09/2002,48.48
INDIA/US,13/09/2002,48.47
INDIA/US,16/09/2002,48.43
INDIA/US,17/09/2002,48.45
INDIA/US,18/09/2002,48.43
INDIA/US,19/09/2002,48.44
INDIA/US,20/09/2002,48.46
INDIA/US,23/09/2002,48.44
INDIA/US,24/09/2002,48.42
INDIA/US,25/09/2002,48.43
INDIA/US,26/09/2002,48.43
INDIA/US,27/09/2002,48.4
INDIA/US,30/09/2002,48.4
INDIA/US,01/10/2002,48.39
INDIA/US,02/10/2002,48.39
INDIA/US,03/10/2002,48.38
INDIA/US,04/10/2002,48.38
INDIA/US,07/10/2002,48.35
INDIA/US,08/10/2002,48.39
INDIA/US,09/10/2002,48.34
INDIA/US,10/10/2002,48.38
INDIA/US,11/10/2002,48.36
INDIA/US,15/10/2002,48.36
INDIA/US,16/10/2002,48.41
INDIA/US,17/10/2002,48.42
INDIA/US,18/10/2002,48.44
INDIA/US,21/10/2002,48.38
INDIA/US,22/10/2002,48.39
INDIA/US,23/10/2002,48.35
INDIA/US,24/10/2002,48.42
INDIA/US,25/10/2002,48.41
INDIA/US,28/10/2002,48.45
INDIA/US,29/10/2002,48.41
INDIA/US,30/10/2002,48.35
INDIA/US,31/10/2002,48.39
INDIA/US,01/11/2002,48.36
INDIA/US,04/11/2002,48.36
INDIA/US,05/11/2002,48.35
INDIA/US,06/11/2002,48.36
INDIA/US,07/11/2002,48.34
INDIA/US,08/11/2002,48.29
INDIA/US,12/11/2002,48.3
INDIA/US,13/11/2002,48.3
INDIA/US,14/11/2002,48.29
INDIA/US,15/11/2002,48.23
INDIA/US,18/11/2002,48.23
INDIA/US,19/11/2002,48.23
INDIA/US,20/11/2002,48.25
INDIA/US,21/11/2002,48.21
INDIA/US,22/11/2002,48.22
INDIA/US,25/11/2002,48.23
INDIA/US,26/11/2002,48.24
INDIA/US,27/11/2002,48.27
INDIA/US,29/11/2002,48.36
INDIA/US,02/12/2002,48.32
INDIA/US,03/12/2002,48.28
INDIA/US,04/12/2002,48.23
INDIA/US,05/12/2002,48.27
INDIA/US,06/12/2002,48.24
INDIA/US,09/12/2002,48.24
INDIA/US,10/12/2002,48.24
INDIA/US,11/12/2002,48.18
INDIA/US,12/12/2002,48.22
INDIA/US,13/12/2002,48.2
INDIA/US,16/12/2002,48.18
INDIA/US,17/12/2002,48.16
INDIA/US,18/12/2002,48.15
INDIA/US,19/12/2002,48.11
INDIA/US,20/12/2002,48.03
INDIA/US,23/12/2002,48.03
INDIA/US,24/12/2002,48.04
INDIA/US,26/12/2002,48.05
INDIA/US,27/12/2002,48.01
INDIA/US,30/12/2002,47.96
INDIA/US,31/12/2002,48
INDIA/US,02/01/2003,48.05
INDIA/US,03/01/2003,48.03
INDIA/US,06/01/2003,48.01
INDIA/US,07/01/2003,48
INDIA/US,08/01/2003,48
INDIA/US,09/01/2003,47.96
INDIA/US,10/01/2003,48
INDIA/US,13/01/2003,47.96
INDIA/US,14/01/2003,47.95
INDIA/US,15/01/2003,47.97
INDIA/US,16/01/2003,47.96
INDIA/US,17/01/2003,47.96
INDIA/US,21/01/2003,47.97
INDIA/US,22/01/2003,47.93
INDIA/US,23/01/2003,47.92
INDIA/US,24/01/2003,47.9
INDIA/US,27/01/2003,48.1
INDIA/US,28/01/2003,47.92
INDIA/US,29/01/2003,47.83
INDIA/US,30/01/2003,47.85
INDIA/US,31/01/2003,47.83
INDIA/US,03/02/2003,47.8
INDIA/US,04/02/2003,47.82
INDIA/US,05/02/2003,47.77
